Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut,operateur,Date,Statut,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2
Conand,Commune,210101119,01111,182380,0010024,eau potable,1,120,120,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Confort,Commune,210101143,01114,182383,0010217,eau potable,1,582,291,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Contrevoz,Commune,210101168,01116,182386,0010025,eau potable,1,523,523,Délégation,Entreprise privée,,31/07/2018,Confirmé / publié,"2,16",84,Sans anomalie apparente,1,67.9,Sans anomalie apparente,1,2.5,Sans anomalie apparente,1,2.5,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Conzieu,Commune,210101176,01117,182388,0010026,eau potable,1,155,155,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Corbonod,Commune,210101184,01118,182390,0010027,eau potable,1,1266,1266,Délégation,Entreprise privée,,31/05/2022,En attente de saisie,,,,,,,,,,,,,,,,
Corlier,Commune,210101218,01121,182393,0010028,eau potable,1,115,115,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Cormaranche-en-Bugey,Commune,210101226,01122,182395,0010089,eau potable,1,867,433,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,9",95,Sans anomalie apparente,1,62.2,Sans anomalie apparente,1,4.2,Sans anomalie apparente,1,3.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Cressin-Rochefort,Commune,210101333,01133,182404,0010029,eau potable,1,395,395,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Culoz,Commune,210101382,01138,182408,0010030,eau potable,1,3087,3087,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Cuzieu,Commune,210101416,01141,182412,0010090,eau potable,1,428,428,Délégation,Entreprise privée,,30/09/2022,En attente de saisie,,,,,,,,,,,,,,,,
Dagneux,Commune,210101424,01142,182414,0010132,eau potable,1,4502,2251,Régie,Entreprise privée,,30/06/2020,En cours de saisie,,,,,,,,,,,,,,,,
Dortan,Commune,210101481,01148,182420,0010113,eau potable,1,1902,951,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Flaxieu,Commune,210101622,01162,182775,0010062,eau potable,1,65,32,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
GEOVREISSIAT-BEARD,Commune,210101705,01170,182432,0010182,eau potable : distribution,1,1043,521,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Giron,Commune,210101747,01174,182436,0010184,eau potable,1,180,180,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Groissiat,Commune,210101812,01181,182772,0010119,eau potable,1,1218,609,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Groslée-Saint-Benoit,Commune,200060143,01338,182595,0010066,eau potable (GROSLEE SAINT-BENOIT),1,1213,404,Délégation,Entreprise privée,,31/12/2027,En attente de saisie,,,,,,,,,,,,,,,,
Groslée-Saint-Benoit,Commune,200060143,01338,182442,0010031,eau potable (GROSLEE),1,1213,404,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Géovreisset,Commune,210101713,01171,182771,0010120,eau potable,1,955,477,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",39,Sans anomalie apparente,1,89.8,Sans anomalie apparente,1,1.3,Sans anomalie apparente,1,1.3,Sans anomalie apparente,1,1.64,Sans anomalie apparente,1
HOSTIAS,Commune,210101861,01186,182766,0010091,eau potable,1,88,88,Délégation,Entreprise privée,,31/12/2020,En attente de saisie,,,,,,,,,,,,,,,,
Haut Valromey,Commune,200053676,01187,182446,0010092,eau potable (HOTONNES),1,733,146,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",95,Sans anomalie apparente,1,84.9,Sans anomalie apparente,1,4.4,Sans anomalie apparente,1,3.9,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Haut Valromey,Commune,200053676,01187,182777,0010095,eau potable (LE GRAND-ABERGEMENT),1,733,146,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",30,Sans anomalie apparente,1,66.3,Sans anomalie apparente,1,6.2,Sans anomalie apparente,1,5.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Haut Valromey,Commune,200053676,01187,182550,0010096,eau potable (LE PETIT-ABERGEMENT),1,733,146,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",115,Sans anomalie apparente,1,39.5,Sans anomalie apparente,1,8.5,Sans anomalie apparente,1,6.6,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Haut Valromey,Commune,200053676,01187,182664,0010101,eau potable (SONGIEU),1,733,146,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,77",10,Sans anomalie apparente,1,61.8,Sans anomalie apparente,1,3.3,Sans anomalie apparente,1,2.8,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Hauteville-Lompnes,Commune,210101853,01185,182443,0010032,eau potable,1,3952,1976,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,35",115,Sans anomalie apparente,1,72.7,Sans anomalie apparente,1,4.9,Sans anomalie apparente,1,3.7,Sans anomalie apparente,1,0.14,Sans anomalie apparente,1
Injoux-Génissiat,Commune,210101895,01189,182448,0010185,eau potable,1,1178,1178,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Innimond,Commune,210101903,01190,182450,0010033,eau potable,1,119,119,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,27",120,Sans anomalie apparente,1,75.5,Sans anomalie apparente,1,3.2,Sans anomalie apparente,1,2.7,Sans anomalie apparente,1,0.5,Sans anomalie apparente,1
Izenave,Commune,210101911,01191,182452,0010093,eau potable,1,178,59,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Izernore,Commune,210101929,01192,182454,0010150,eau potable : izernore,1,2357,1178,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Izieu,Commune,210101937,01193,182456,0010223,eau potable,1,233,116,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Journans,Commune,210101978,01197,182459,0010143,eau potable,1,369,369,Régie,Régie à autonomie financière,,,Vérifié,,,,,75.7,Sans anomalie apparente,1,3.6,Sans anomalie apparente,1,3.6,Sans anomalie apparente,1,,,
Jujurieux,Commune,210101994,01199,182461,0010186,eau potable,1,2231,2231,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,59",15,Sans anomalie apparente,1,47.9,Sans anomalie apparente,1,11.3,Sans anomalie apparente,1,11.1,Sans anomalie apparente,1,0,Sans anomalie apparente,1
La Boisse,Commune,210100491,01049,182301,0010126,eau potable,1,2988,1494,Délégation,Entreprise privée,,30/06/2019,Confirmé / publié,"1,47",95,Sans anomalie apparente,0,88.9,Sans anomalie apparente,0,3.7,Sans anomalie apparente,0,3.5,Sans anomalie apparente,0,0,Sans anomalie apparente,1
Labalme,Commune,210102000,01200,182769,0010214,eau potable,1,212,106,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Lagnieu,Commune,210102026,01202,182464,0010036,eau potable,1,7104,7104,Délégation,Entreprise privée,,31/07/2022,Confirmé / publié,"1,55",70,Sans anomalie apparente,1,70.2,Sans anomalie apparente,1,5.5,Sans anomalie apparente,1,5.5,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Lancrans,Commune,210102059,01205,182467,0010265,eau potable,1,1067,533,Régie,Régie à autonomie financière,,31/12/2020,En attente de saisie,,,,,,,,,,,,,,,,
Lantenay,Commune,210102067,01206,182469,0010094,eau potable,1,268,89,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,75",109,Sans anomalie apparente,1,80.6,Sans anomalie apparente,1,1.8,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1,17.78,Sans anomalie apparente,1
Lavours,Commune,210102083,01208,182472,0010037,eau potable,1,143,143,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Les Neyrolles,Commune,210102745,01274,182534,0010189,eau potable : distribution,1,651,325,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Leyment,Commune,210102133,01213,182476,0010038,eau potable,1,1264,1264,Délégation,Entreprise privée,,30/06/2022,En attente de saisie,,,,,,,,,,,,,,,,
Leyssard,Commune,210102141,01214,182478,0010107,eau potable : distribution,1,157,78,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Lhuis,Commune,210102166,01216,182482,0010039,eau potable,1,904,904,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,46",99,Sans anomalie apparente,1,100,Anomalie,1,0,Anomalie,1,0,Anomalie,1,0,Sans anomalie apparente,1
Lhôpital,Commune,210102158,01215,182480,0010190,eau potable,1,50,50,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Lochieu,Commune,210102182,01218,182484,0010040,eau potable,1,101,101,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Lompnas,Commune,210102190,01219,182485,0010041,eau potable,1,168,168,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,46",95,Sans anomalie apparente,1,90.5,Sans anomalie apparente,0,0.8,Sans anomalie apparente,0,0.8,Sans anomalie apparente,0,0,Sans anomalie apparente,1
Lompnieu,Commune,210102216,01221,182487,0010097,eau potable,1,116,58,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,21",104,Sans anomalie apparente,1,65.9,Sans anomalie apparente,1,2.4,Sans anomalie apparente,1,2.3,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Loyettes,Commune,210102240,01224,182489,0010042,eau potable : Territoire n°1,1,3187,3187,Délégation,Entreprise privée,,31/12/2023,En cours de saisie,,,,,,,,,,,,,,,,
Magnieu,Commune,210102273,01227,182491,0010043,eau potable,1,469,469,Régie,Régie à autonomie financière,,,En cours de saisie,,,,,,,,,,,,,,,,
Maillat,Commune,210102281,01228,182493,0010191,eau potable,1,662,331,Délégation,Entreprise privée,,31/12/2022,En attente de saisie,,,,,,,,,,,,,,,,
Marchamp,Commune,210102331,01233,182498,0010044,eau potable,1,133,133,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Marignieu,Commune,210102349,01234,182500,0010098,eau potable,1,179,179,Délégation,Entreprise privée,,31/12/2027,Confirmé / publié,"2,83",105,Sans anomalie apparente,1,60.3,Sans anomalie apparente,1,4.2,Sans anomalie apparente,1,3.9,Sans anomalie apparente,1,1.1,Sans anomalie apparente,1
Martignat,Commune,210102372,01237,182504,0010116,eau potable,1,1637,818,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Matafelon-Granges,Commune,210102406,01240,182507,0010109,eau potable : distribution,1,669,334,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Montagnieu,Commune,210102554,01255,182518,0010045,eau potable,1,597,597,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,15",105,Sans anomalie apparente,1,91.9,Sans anomalie apparente,1,1.6,Sans anomalie apparente,1,1.6,Sans anomalie apparente,1,0,Sans anomalie apparente,1
Montanges,Commune,210102570,01257,182520,0010194,eau potable,1,351,351,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Montluel,Commune,210102620,01262,182768,0010225,eau potable,1,7140,2380,,,,,En attente de saisie,,,,,,,,,,,,,,,,
Montréal-la-Cluse,Commune,210102653,01265,182525,0010219,eau potable,1,3481,1740,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Murs-et-Gélignieux,Commune,210102687,01268,182529,0010046,eau potable,1,258,258,Régie,Entreprise privée,,31/12/2019,En attente de saisie,,,,,,,,,,,,,,,,
Mérignat,Commune,210102422,01242,182510,0010192,eau potable,1,129,129,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,34",10,Sans anomalie apparente,1,77.5,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1,0.8,Sans anomalie apparente,1,0.75,Sans anomalie apparente,1
Nantua,Commune,210102695,01269,182781,0010195,eau potable : distribution,1,3696,1848,Délégation,Entreprise privée,,31/12/2019,En attente de saisie,,,,,,,,,,,,,,,,
Neuville-sur-Ain,Commune,210102737,01273,182532,0010139,eau potable,1,1680,1680,Délégation,Entreprise privée,,31/12/2017,En attente de saisie,,,,,,,,,,,,,,,,
Nivigne et Suran,Commune,200062537,01095,182434,0010183,eau potable (GERMAGNAT),1,809,404,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Nurieux-Volognat,Commune,210102679,01267,182527,0010114,eau potable : distribution,1,1051,525,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Oncieu,Commune,210102794,01279,182538,0010047,eau potable,1,97,97,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Ordonnaz,Commune,210102802,01280,182540,0010048,eau potable,1,159,159,Délégation,Entreprise privée,,31/12/2029,En cours de saisie,,,,,,,,,,,,,,,,
Outriaz,Commune,210102828,01282,182778,0010099,eau potable : outriaz,1,267,89,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Oyonnax,Commune,210102836,01283,182773,0010118,eau potable,1,23085,11542,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Peyrieu,Commune,210102943,01294,182554,0010049,eau potable,1,853,853,Délégation,Entreprise privée,,30/09/2024,Confirmé / publié,"2,28",86,Sans anomalie apparente,1,76.9,Sans anomalie apparente,1,2.4,Sans anomalie apparente,1,2.2,Sans anomalie apparente,1,0.24,Sans anomalie apparente,1
Pizay,Commune,210102976,01297,182557,0010135,eau potable,1,759,379,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Plagne,Commune,210102984,01298,182559,0010196,eau potable,1,126,126,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Pollieu,Commune,210103024,01302,182776,0010062,eau potable,1,164,82,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Poncin,Commune,210103032,01303,182564,0010197,eau potable,1,1720,1720,Délégation,Entreprise privée,,31/03/2022,Vérifié,"2,31",95,Sans anomalie apparente,0,71.6,Sans anomalie apparente,0,5.1,Sans anomalie apparente,0,4.5,Sans anomalie apparente,0,0,Sans anomalie apparente,1
Port,Commune,210103073,01307,182779,0010198,eau potable : distribution,1,875,437,Délégation,Entreprise privée,,31/12/2025,En attente de saisie,,,,,,,,,,,,,,,,
Pouillat,Commune,210103099,01309,182569,0010199,eau potable,1,93,93,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Prémeyzel,Commune,210103107,01310,182571,0010221,eau potable,1,234,117,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Prémillieu,Commune,210103115,01311,182573,0010050,eau potable,1,46,46,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
Ruffieu,Commune,210103305,01330,182585,0010100,eau potable,1,191,95,Régie,Régie à autonomie financière,,,En attente de saisie,,,,,,,,,,,,,,,,
