Nom,Type,SIREN,INSEE,SISPEA,UGE,service,Communes,Pop,Pop_service,Mode,Statut_x,operateur,Date,Statut.1,D102.0,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2,Code Postal,Commune,Département,Région,Statut_y,Altitude Moyenne,Superficie,Population,geo_point_2d,geo_shape,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région
Jujurieux,Commune,210101994.0,01199,182461,0010186,eau potable,1,2231.0,2231.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,59",15.0,Sans anomalie apparente,1.0,47.9,Sans anomalie apparente,1.0,11.3,Sans anomalie apparente,1.0,11.1,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01640,JUJURIEUX,AIN,RHONE-ALPES,Commune simple,363.0,1548.0,2.0,"46.0497041467, 5.41094771899","{""type"": ""Polygon"", ""coordinates"": [[[5.441285739177649, 46.02540304842597], [5.424758839241116, 46.03130753405992], [5.401648223112618, 46.0352320927052], [5.384058660145485, 46.046026879041584], [5.37488683539693, 46.0481473167277], [5.378545355859279, 46.05316070040655], [5.376326398574244, 46.0590000092489], [5.38317185519824, 46.0751085914694], [5.396205862294004, 46.071221350117845], [5.403464844335416, 46.059328921462686], [5.427480128765822, 46.06130386459253], [5.439073909580543, 46.0565955190179], [5.448033934553832, 46.057582628526724], [5.447968254925107, 46.05116946889838], [5.436754449377412, 46.040473876107455], [5.437863297000047, 46.033972412795265], [5.445909831813626, 46.03050166522393], [5.441285739177649, 46.02540304842597]]]}",5269,199,24,4,01,82
La Boisse,Commune,210100491.0,01049,182301,0010126,eau potable,1,2988.0,1494.0,Délégation,Entreprise privée,,30/06/2019,Confirmé / publié,"1,47",95.0,Sans anomalie apparente,0.0,88.9,Sans anomalie apparente,0.0,3.7,Sans anomalie apparente,0.0,3.5,Sans anomalie apparente,0.0,0.0,Sans anomalie apparente,1.0,01120,LA BOISSE,AIN,RHONE-ALPES,Commune simple,230.0,938.0,2.9,"45.8446213549, 5.02783224111","{""type"": ""Polygon"", ""coordinates"": [[[5.034721436360044, 45.82548389030086], [5.025070393216434, 45.82617083057053], [5.019810562121375, 45.83137249093924], [5.008077100321504, 45.85347976648619], [4.993575784365616, 45.86278040475408], [4.989317270325662, 45.87053909231366], [5.01285789342513, 45.85802472305108], [5.04140001754251, 45.85277446452333], [5.062025569380678, 45.83863568161393], [5.063272995022617, 45.836496023244266], [5.049020829205156, 45.83895342854841], [5.034721436360044, 45.82548389030086]]]}",28396,49,20,2,01,82
Lagnieu,Commune,210102026.0,01202,182464,0010036,eau potable,1,7104.0,7104.0,Délégation,Entreprise privée,,31/07/2022,Confirmé / publié,"1,55",70.0,Sans anomalie apparente,1.0,70.2,Sans anomalie apparente,1.0,5.5,Sans anomalie apparente,1.0,5.5,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01150,LAGNIEU,AIN,RHONE-ALPES,Chef-lieu canton,265.0,2733.0,6.7,"45.8917015798, 5.32917518895","{""type"": ""Polygon"", ""coordinates"": [[[5.302490802390611, 45.84813297998246], [5.286836104101106, 45.86231537452451], [5.296061424320588, 45.86524530055311], [5.301183135763629, 45.88260907139237], [5.30399388495135, 45.90017294536232], [5.297206882388607, 45.90543701606561], [5.319989289586339, 45.90895377601949], [5.316229351149863, 45.91805767185038], [5.321986043355919, 45.92234494663176], [5.331327066740583, 45.92436898076708], [5.334033063564867, 45.9215114203067], [5.353302841077181, 45.92085087749915], [5.361592241774527, 45.917290735360595], [5.378196864853726, 45.90037522285487], [5.392674764070466, 45.90126796900302], [5.335090341930056, 45.885850528277174], [5.340913825600754, 45.880513932916095], [5.335531674447902, 45.87403979896108], [5.330497468923283, 45.86478353603048], [5.314105213149293, 45.858264753196515], [5.302490802390611, 45.84813297998246]]]}",5669,202,17,1,01,82
Lantenay,Commune,210102067.0,01206,182469,0010094,eau potable,1,268.0,89.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,75",109.0,Sans anomalie apparente,1.0,80.6,Sans anomalie apparente,1.0,1.8,Sans anomalie apparente,1.0,1.1,Sans anomalie apparente,1.0,17.78,Sans anomalie apparente,1.0,01430,LANTENAY,AIN,RHONE-ALPES,Commune simple,782.0,648.0,0.3,"46.0544405897, 5.54127421165","{""type"": ""Polygon"", ""coordinates"": [[[5.546011166653432, 46.035801955256595], [5.528735581547145, 46.05648719015627], [5.514707161975775, 46.05987142998468], [5.517652936361113, 46.06513066646964], [5.526247925748891, 46.06599362914379], [5.532000171052078, 46.07032505879523], [5.555192737478596, 46.059948351642625], [5.560690018448294, 46.047940611995784], [5.550867657495107, 46.03619729292752], [5.546011166653432, 46.035801955256595]]]}",29099,206,6,4,01,82
Lhuis,Commune,210102166.0,01216,182482,0010039,eau potable,1,904.0,904.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,46",99.0,Sans anomalie apparente,1.0,100.0,Anomalie,1.0,0.0,Anomalie,1.0,0.0,Anomalie,1.0,0.0,Sans anomalie apparente,1.0,01680,LHUIS,AIN,RHONE-ALPES,Chef-lieu canton,471.0,2461.0,0.8,"45.7444141403, 5.53602066955","{""type"": ""Polygon"", ""coordinates"": [[[5.54554159780885, 45.713593457464874], [5.527274723078909, 45.71546418310202], [5.517508747913713, 45.73118804823891], [5.498151899379578, 45.74438502004081], [5.504968969220195, 45.749432190027434], [5.509437792902774, 45.75942338231466], [5.503448436250865, 45.76898935758208], [5.505036303299353, 45.77590036918615], [5.507972255510114, 45.778745181281984], [5.517750270640049, 45.77970761690654], [5.537762101189675, 45.76014096726931], [5.570824041689374, 45.75338266428518], [5.581323665199263, 45.74065535404928], [5.580648773830111, 45.738877878132854], [5.565680334653548, 45.73157938651392], [5.54554159780885, 45.713593457464874]]]}",18026,216,18,1,01,82
Lompnas,Commune,210102190.0,01219,182485,0010041,eau potable,1,168.0,168.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"1,46",95.0,Sans anomalie apparente,1.0,90.5,Sans anomalie apparente,0.0,0.8,Sans anomalie apparente,0.0,0.8,Sans anomalie apparente,0.0,0.0,Sans anomalie apparente,1.0,01680,LOMPNAS,AIN,RHONE-ALPES,Commune simple,747.0,1262.0,0.1,"45.8105943351, 5.52320457866","{""type"": ""Polygon"", ""coordinates"": [[[5.531155806317447, 45.789011788052434], [5.521288385065866, 45.78980031048427], [5.511350123482577, 45.797815124620854], [5.49796222638934, 45.8204736257046], [5.500733364576084, 45.830728072815575], [5.508771441795643, 45.834892329953], [5.530144587266153, 45.82118947605881], [5.539332497850374, 45.819235334394], [5.550696840269682, 45.80834780313044], [5.550470708083687, 45.79899193575623], [5.537017162980201, 45.79465526808033], [5.531155806317447, 45.789011788052434]]]}",23544,219,18,1,01,82
Lompnieu,Commune,210102216.0,01221,182487,0010097,eau potable,1,116.0,58.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,21",104.0,Sans anomalie apparente,1.0,65.9,Sans anomalie apparente,1.0,2.4,Sans anomalie apparente,1.0,2.3,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01260,LOMPNIEU,AIN,RHONE-ALPES,Commune simple,790.0,1135.0,0.1,"45.9690865613, 5.65968816497","{""type"": ""Polygon"", ""coordinates"": [[[5.676937079938908, 45.948027052240725], [5.65504412646446, 45.95686812937697], [5.635322231648916, 45.96019425489356], [5.634980840946266, 45.96844630123829], [5.63948805250478, 45.98429792904443], [5.678099806259669, 45.984148092549226], [5.681733728923917, 45.96323969117586], [5.676937079938908, 45.948027052240725]]]}",27656,221,9,1,01,82
Marignieu,Commune,210102349.0,01234,182500,0010098,eau potable,1,179.0,179.0,Délégation,Entreprise privée,,31/12/2027,Confirmé / publié,"2,83",105.0,Sans anomalie apparente,1.0,60.3,Sans anomalie apparente,1.0,4.2,Sans anomalie apparente,1.0,3.9,Sans anomalie apparente,1.0,1.1,Sans anomalie apparente,1.0,01300,MARIGNIEU,AIN,RHONE-ALPES,Commune simple,375.0,354.0,0.2,"45.8010384947, 5.71570352924","{""type"": ""Polygon"", ""coordinates"": [[[5.712547183086887, 45.79070724627655], [5.702068705260815, 45.79608546337343], [5.705869963968195, 45.80189604997494], [5.701642919894023, 45.81160217267361], [5.710445940180588, 45.81402210705236], [5.718405348511269, 45.80609991104254], [5.726589814927914, 45.80538889308107], [5.731983143047833, 45.80008655495837], [5.733966735936471, 45.79565950910777], [5.712547183086887, 45.79070724627655]]]}",14215,234,36,1,01,82
Montagnieu,Commune,210102554.0,01255,182518,0010045,eau potable,1,597.0,597.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"2,15",105.0,Sans anomalie apparente,1.0,91.9,Sans anomalie apparente,1.0,1.6,Sans anomalie apparente,1.0,1.6,Sans anomalie apparente,1.0,0.0,Sans anomalie apparente,1.0,01470,MONTAGNIEU,AIN,RHONE-ALPES,Commune simple,379.0,619.0,0.5,"45.799449019, 5.46428608859","{""type"": ""Polygon"", ""coordinates"": [[[5.447078322484536, 45.78619074113177], [5.438575606864239, 45.79543808154417], [5.458225847044942, 45.80316512238484], [5.463469740831351, 45.81185285983588], [5.467982674283697, 45.81741212522668], [5.481329229385712, 45.81679522100752], [5.477035364315887, 45.81097939224215], [5.480399835791795, 45.79152640491923], [5.473556908917778, 45.786541306678394], [5.460297269331794, 45.78981328907719], [5.447078322484536, 45.78619074113177]]]}",24952,255,18,1,01,82
Mérignat,Commune,210102422.0,01242,182510,0010192,eau potable,1,129.0,129.0,Régie,Régie à autonomie financière,,,Confirmé / publié,"3,34",10.0,Sans anomalie apparente,1.0,77.5,Sans anomalie apparente,1.0,0.8,Sans anomalie apparente,1.0,0.8,Sans anomalie apparente,1.0,0.75,Sans anomalie apparente,1.0,01450,MERIGNAT,AIN,RHONE-ALPES,Commune simple,452.0,312.0,0.1,"46.0648564341, 5.44210660051","{""type"": ""Polygon"", ""coordinates"": [[[5.448033934553832, 46.057582628526724], [5.439073909580543, 46.0565955190179], [5.427480128765822, 46.06130386459253], [5.434248676912155, 46.07269953062481], [5.442852890111541, 46.07436142127446], [5.450840532714175, 46.07031512631632], [5.457589769720433, 46.06117782261062], [5.448033934553832, 46.057582628526724]]]}",17808,242,24,4,01,82
Peyrieu,Commune,210102943.0,01294,182554,0010049,eau potable,1,853.0,853.0,Délégation,Entreprise privée,,30/09/2024,Confirmé / publié,"2,28",86.0,Sans anomalie apparente,1.0,76.9,Sans anomalie apparente,1.0,2.4,Sans anomalie apparente,1.0,2.2,Sans anomalie apparente,1.0,0.24,Sans anomalie apparente,1.0,01300,PEYRIEU,AIN,RHONE-ALPES,Commune simple,307.0,1406.0,0.8,"45.6762428663, 5.67912809192","{""type"": ""Polygon"", ""coordinates"": [[[5.687609682120518, 45.65358491389192], [5.665939082967163, 45.649919676579245], [5.658230630855228, 45.65231844926914], [5.656197381416734, 45.67286402723823], [5.666040982593851, 45.68804743596364], [5.661125979602275, 45.69383995477583], [5.676654437932646, 45.69670660046346], [5.703726208051386, 45.6981503825737], [5.709212702037072, 45.68494483050748], [5.685626477943339, 45.66699413484714], [5.687609682120518, 45.65358491389192]]]}",23898,294,4,1,01,82
